Timestamp,Track,Lap,Time_s,AmbientTemp_C,EngineSpeed_RPM,VehicleSpeed_kph,FuelLoad_kg,CoolingSetting,ERS_Deploy,AirflowRate_kgps,ComponentTemp_C,Gear,Throttle_pct,BrakePressure_bar,OilPressure_bar,Weather_Humidity_pct,TyreWear_Index,SponsorLogoSize_cm,DriverMood_Score,EngineLoad_Index,RollingAmbient_C
01/06/2025 14:11,Silverstone,8,706,21.01,12027,177.5,17.33,med,0,,91.46,8,96.8,51.2,4.81,64,33.8,30,6,1148.4,20.72
01/06/2025 14:11,Silverstone,8,698,20.73,12677,186.5,17.45,med,0,0.994,93.58,8,98.4,55.8,4.97,50.5,64.9,20,4,1300.8,21.28
01/06/2025 14:15,Silverstone,10,916,21.45,10047,149.8,14.11,med,1,0.787,89.32,8,86.2,77.2,4.52,57.7,51.1,20,1,875.8,21.47
01/06/2025 14:10,Silverstone,7,653,20.67,10709,148.2,18.15,med,0,0.748,84.48,8,84.3,76.5,4.66,55.1,63.4,20,7,935,20.75
01/06/2025 14:15,Silverstone,10,902,21.43,11452,175.3,14.62,med,0,0.937,90.71,8,84,66.7,4.63,65.2,64,10,4,900.6,21.54
01/06/2025 14:12,Silverstone,8,759,20.75,11923,182.2,16.65,med,0,0.941,88.92,8,95.1,52.5,4.88,49.8,57.2,10,1,1198.7,
01/06/2025 14:21,Silverstone,14,1271,24.2,12374,174.9,,high,0,0.983,91.92,8,90.9,59.3,4.91,,49.2,20,4,1123.8,24.07
01/06/2025 14:13,Silverstone,9,797,20.88,12519,185.3,16.09,med,0,0.904,92.55,8,90.4,53,,69,48.7,30,8,1159.9,21.2
01/06/2025 14:12,Silverstone,8,730,20.84,9708,141.3,16.99,,0,0.74,84.2,8,76.4,,4.45,62.3,69,20,8,788.9,20.72
01/06/2025 14:07,Silverstone,5,421,20.35,12077,179.2,21.71,low,1,0.849,94.09,8,90.7,69.3,4.96,59.4,54.5,20,6,1102.8,20.31
01/06/2025 14:09,Silverstone,7,581,20.75,12001,175.1,19.37,med,1,0.871,89.77,8,91.7,60.4,4.71,57.5,59.7,,8,1082.5,20.63
01/06/2025 14:12,Silverstone,8,757,20.96,11518,165.8,16.58,med,,0.866,87.81,8,99.6,76,4.71,62.3,46.7,10,5,1130,20.86
01/06/2025 14:09,Silverstone,6,577,20.65,11493,169.6,19.35,med,1,0.932,90.51,8,84.7,66.4,4.85,57.2,68.9,30,2,990.6,21.03
